AD,42.43333,1.45,42.61666,1.73333
AE,22.94082,51.4,26.04888,56.40512
AF,29.43333,60.63984,38.44478,74.37083
AG,17.0,-61.88333,17.68333,-61.68333
AI,18.16666,-63.15,18.25,-62.98333
AL,39.65,19.33721,42.60083,21.02388
AM,38.89416,43.56138,41.28388,46.56055
AN,12.01666,-69.16665,18.05,-62.95
AO,-18.01666,11.73333,-4.4,23.98979
AQ,-77.846,166.676,-77.846,166.676
AR,-54.9,-72.78333,-21.88333,-53.6458
AS,-14.36111,-171.08833,-11.05528,-169.51278
AT,46.43333,9.53304,49.01666,17.1
AU,-47.05,113.53642,-9.23333,167.96666
AW,12.41666,-70.98332,12.61666,-69.86666
AX,59.92051,19.61442,60.41165,21.04534
AZ,38.41666,44.88805,41.83332,50.60305
BA,42.56472,15.75333,45.26833,19.61833
BB,13.03333,-59.65,13.33333,-59.38333
BD,20.71666,88.06666,26.81666,92.53333
BE,49.5,2.56666,51.68333,6.38333
BF,9.43333,-5.46666,14.96555,2.23333
BG,41.01666,22.37833,44.19361,28.58333
BH,25.88333,50.44916,26.28416,50.65583
BI,-4.44332,29.02222,-2.37333,30.83138
BJ,6.23333,0.78277,12.4,3.81666
BL,17.89618,-62.84978,17.89618,-62.84978
BM,32.25722,-64.88,32.38165,-64.65443
BN,4.21666,114.18333,5.03333,115.2
BO,-22.86666,-69.59999,9.67777,-57.61666
BQ,12.13333,-68.33333,17.643,-62.9864
BR,-33.73333,-73.78333,4.65,-32.4
BS,20.95,-79.31666,26.91666,-72.96666
BT,26.71666,88.88333,28.06666,92.1
BW,-26.9,20.03333,-17.81665,28.78333
BY,50.71666,22.55,56.06666,32.85
BZ,15.91666,-89.21333,18.46666,-87.83333
CA,41.79999,-140.98333,82.48332,-52.66666
CC,-12.1266667,96.87333,-12.1066667,96.89333
CD,-13.35,12.26666,5.35,31.23333
CF,1.1,13.91666,10.46665,27.45
CG,-4.99888,11.20611,3.68333,18.63333
CH,45.36666,5.97152,52.88333,10.4901
CI,4.36178,-8.54325,10.69416,-2.5303
CK,-21.95305,-172.08333,-8.96027,-157.35
CL,-54.93333,-109.45,-17.54526,-67.48332
CM,2.01666,8.5,12.78333,15.7
CN,18.19125,74.16665,53.5,134.67694
CO,-4.21527,-81.71666,13.38333,-66.86467
CR,8.43089,-85.85,11.88333,-82.05
CU,19.85,-84.94305,23.56666,-31.63333
CV,14.83333,-25.33333,17.2,-22.71666
CW,12.1084,-69.1125,12.29014,-68.93354
CX,-10.56666,105.65,-10.41666,105.71666
CY,34.58332,32.36472,35.6,34.41666
CZ,40.53333,12.12089,51.65,18.82524
DE,47.31666,5.86666,55.01666,15.03333
DJ,11.00361,41.83611,12.645,43.35555
DK,54.56831,8.11666,57.72818,15.14565
DM,15.2,-61.48333,15.63333,-61.25
DO,17.78333,-71.97722,19.91666,-68.33333
DZ,19.16666,-8.14777,37.20304,70.55444
EC,-4.96666,-91.03333,1.45083,-75.21666
EE,57.52138,21.84944,59.98333,28.88333
EG,20.38333,25.13333,50.86111,35.48416
EH,20.83333,-17.1,27.4625,-9.83333
ER,12.38333,36.48333,17.98332,43.08416
ES,27.69988,-18.1,43.95,6.03333
ET,3.50472,33.01666,14.77916,47.78333
FI,59.76666,19.52333,70.08333,31.48333
FJ,-20.68333,-179.98333,-12.48333,180.0
FK,-52.88333,-61.28333,-51.28333,-57.85
